SURVEY:  PS1MD
SNID:  2007on
otherID: 
IAUC:    UNKNOWN
RA:        54.71208  deg
DECL:       -35.575  deg
REDSHIFT_FINAL:  0.006186 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 54420.5
FILTERS:    YJH 
# keywords from LC processing:
# PSFTRIM: 
# PHOTCAT: 
# CNTRD_FLUX_OFFSET: 
# HOSTNAME:
# IMSIZE_PIX:
# DIST_FROM_CENTER_DEG:

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 155
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG
OBS: 54412.74 H NULL 320036 2652 13.737 0.009 0x00
OBS: 54421.75 H NULL 450816 19095 13.365 0.046 0x00
OBS: 54421.76 H NULL 459198 19450 13.345 0.046 0x00
OBS: 54424.729999999996 H NULL 408131 4133 13.473 0.011 0x00
OBS: 54424.770000000004 H NULL 414572 4962 13.456 0.013 0x00
OBS: 54426.79 H NULL 383001 16222 13.542 0.046 0x00
OBS: 54426.8 H NULL 387971 16433 13.528 0.046 0x00
OBS: 54427.729999999996 H NULL 385478 16327 13.535 0.046 0x00
OBS: 54427.729999999996 H NULL 388329 16448 13.527 0.046 0x00
OBS: 54428.729999999996 H NULL 391922 16600 13.517 0.046 0x00
OBS: 54428.729999999996 H NULL 384060 16267 13.539 0.046 0x00
OBS: 54431.729999999996 H NULL 423058 4674 13.434 0.012 0x00
OBS: 54431.74 H NULL 416485 3451 13.451 0.009 0x00
OBS: 54432.68 H NULL 440149 5674 13.391 0.014 0x00
OBS: 54432.69 H NULL 432115 4774 13.411 0.012 0x00
OBS: 54437.72 H NULL 426579 4713 13.425 0.012 0x00
OBS: 54437.729999999996 H NULL 424228 3125 13.431 0.008 0x00
OBS: 54439.7 H NULL 383001 5290 13.542 0.015 0x00
OBS: 54439.7 H NULL 377050 2777 13.559 0.008 0x00
OBS: 54442.72 H NULL 291071 3484 13.84 0.013 0x00
OBS: 54442.729999999996 H NULL 288137 2653 13.851 0.01 0x00
OBS: 54444.79 H NULL 245244 2935 14.026 0.013 0x00
OBS: 54444.8 H NULL 246376 2949 14.021 0.013 0x00
OBS: 54446.69 H NULL 213010 2942 14.179 0.015 0x00
OBS: 54446.7 H NULL 211641 2533 14.186 0.013 0x00
OBS: 54448.67 H NULL 190546 2456 14.3 0.014 0x00
OBS: 54448.67 H NULL 185182 1705 14.331 0.01 0x00
OBS: 54454.66 H NULL 134524 1981 14.678 0.016 0x00
OBS: 54454.67 H NULL 134029 1727 14.682 0.014 0x00
OBS: 54456.66 H NULL 121786 5158 14.786 0.046 0x00
OBS: 54457.729999999996 H NULL 115345 4885 14.845 0.046 0x00
OBS: 54457.729999999996 H NULL 111378 4820 14.883 0.047 0x00
OBS: 54461.69 H NULL 98718 1181 15.014 0.013 0x00
OBS: 54461.7 H NULL 95235 964 15.053 0.011 0x00
OBS: 54463.66 H NULL 88389 1139 15.134 0.014 0x00
OBS: 54463.67 H NULL 84878 1016 15.178 0.013 0x00
OBS: 54468.67 H NULL 67235 2847 15.431 0.046 0x00
OBS: 54468.67 H NULL 67297 2850 15.43 0.046 0x00
OBS: 54471.66 H NULL 60813 1007 15.54 0.018 0x00
OBS: 54471.67 H NULL 60701 1229 15.542 0.022 0x00
OBS: 54477.62 H NULL 44791 866 15.872 0.021 0x00
OBS: 54477.63 H NULL 44709 988 15.874 0.024 0x00
OBS: 54485.64 H NULL 29160 832 16.338 0.031 0x00
OBS: 54485.65 H NULL 29566 952 16.323 0.035 0x00
OBS: 54491.6 H NULL 21757 701 16.656 0.035 0x00
OBS: 54491.61 H NULL 22428 908 16.623 0.044 0x00
END:
